variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-6.524785998685773,0.4872032768154754,-13.392327821220684,6.704596532750338e-41,0.0014666329748460308,True
distance_to_ikn,0.41373837084847226,0.19978965823266642,2.070869806317254,0.038370964501640924,1.5124613711307835,True
mining_density_10km,0.3756276966486753,0.10147703848448521,3.7016028675896457,0.00021424176446171455,1.4559049945485427,True
elevation,-1.9287697588825496,1.8355434310213015,-1.0507894971514657,0.2933552806086296,0.1453268756509856,False
rainfall_annual,-0.34145081326022986,0.18174432180241412,-1.878742674730949,0.0602796378167017,0.7107384256661029,False
