variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-4.185608747099942,0.09745610927588874,-42.948654303968695,0.0,0.015212942288090973,True
distance_to_ikn,-0.09917255185973486,0.09025571013536615,-1.09879531955369,0.2718573542100273,0.9055864339179193,False
mining_density_10km,0.129850277249112,0.060755583369372194,2.1372566939184634,0.03257711908323046,1.1386578875701463,True
elevation,-0.6741059873991115,0.29140670113879896,-2.3132823808263434,0.020707118758623324,0.5096118163978515,True
rainfall_annual,-0.0033427860082244232,0.08705155922760265,-0.0384000704626607,0.9693687048037721,0.9966627948806197,False
