variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-2.3425499190291093,0.036455924791137434,-64.25704278385476,0.0,0.09608232345207224,True
distance_to_ikn,-0.1313135331409885,0.041394756343393846,-3.1722262610187997,0.001512750975174014,0.8769427806589848,True
mining_density_10km,0.10239359544885428,0.029977025658783647,3.4157356575118274,0.000636099632806274,1.1078194186102683,True
elevation,-0.14197444960359948,0.05435529784510002,-2.611970778049891,0.009002194843667936,0.8676434248361466,True
rainfall_annual,0.10597754483135408,0.040974772828394436,2.586409576331182,0.009698161301670954,1.111796910639097,True
