class_2020,Bare/Mining-like,Built-up,Forest,Shrubland/Agriculture,Water,All
Bare/Mining-like,173,33,79,86,120,491
Built-up,50,746,232,619,12,1659
Forest,165,292,81165,5565,46,87233
Shrubland/Agriculture,85,632,7498,15031,172,23418
Water,51,7,22,82,5980,6142
All,524,1710,88996,21383,6330,118943
