class_2019,Bare/Mining-like,Built-up,Forest,Shrubland/Agriculture,Water,All
Bare/Mining-like,150,55,80,92,104,481
Built-up,58,863,372,1081,31,2405
Forest,152,409,79664,6215,24,86464
Shrubland/Agriculture,121,623,9694,12896,159,23493
Water,90,8,41,74,5887,6100
All,571,1958,89851,20358,6205,118943
