class_2021,Bare/Mining-like,Built-up,Forest,Shrubland/Agriculture,Water,All
Bare/Mining-like,170,56,152,83,63,524
Built-up,47,759,278,602,24,1710
Forest,394,263,84288,4012,39,88996
Shrubland/Agriculture,99,579,8098,12408,199,21383
Water,84,16,41,97,6092,6330
All,794,1673,92857,17202,6417,118943
