class_2022,Bare/Mining-like,Built-up,Forest,Shrubland/Agriculture,Water,All
Bare/Mining-like,189,62,362,110,71,794
Built-up,69,828,221,539,16,1673
Forest,264,491,84840,7231,31,92857
Shrubland/Agriculture,134,1223,4406,11356,83,17202
Water,190,39,29,190,5969,6417
All,846,2643,89858,19426,6170,118943
