class_2019,Bare/Mining-like,Built-up,Forest,Shrubland/Agriculture,Water,All
Bare/Mining-like,181,41,58,93,108,481
Built-up,40,849,254,1228,34,2405
Forest,96,261,79746,6347,14,86464
Shrubland/Agriculture,76,498,7127,15667,125,23493
Water,98,10,48,83,5861,6100
All,491,1659,87233,23418,6142,118943
