class_2023,Bare/Mining-like,Built-up,Forest,Shrubland/Agriculture,Water,All
Bare/Mining-like,245,81,208,166,146,846
Built-up,47,971,270,1342,13,2643
Forest,114,357,83361,6000,26,89858
Shrubland/Agriculture,61,542,5985,12746,92,19426
Water,104,7,27,104,5928,6170
All,571,1958,89851,20358,6205,118943
