variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-2.9973690173234533,0.016328312299518394,-183.56881974947657,0.0,0.04991822974825665,True
distance_to_ikn,0.10834248119360565,0.013899317379805801,7.794805905433566,6.4507556491443186e-15,1.1144293511307066,True
mining_density_10km,0.08908327385192039,0.00877511870411398,10.151802711244928,3.2529819486425413e-24,1.09317168515315,True
elevation,-0.7722513619657106,0.030494264110532316,-25.32447935672549,1.7173024110414654e-141,0.4619718308406285,True
rainfall_annual,-0.09821105579965381,0.015447268970771944,-6.357826486059168,2.0462842142929276e-10,0.9064575704362473,True
