variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-2.9957743948119973,0.01632158391087077,-183.54679369179988,0.0,0.04999789398145407,True
distance_to_ikn,0.10250185423843733,0.013879385595971705,7.38518672384079,1.5223958482773354e-13,1.1079393562916406,True
mining_density_10km,0.0654447219291131,0.009054834633233639,7.227599904355366,4.916044830018498e-13,1.067633718949905,True
elevation,-0.7769278005368971,0.030510255997780063,-25.464479897953876,4.8802083346988915e-143,0.45981649153595167,True
rainfall_annual,-0.09697038556508353,0.015410920920319008,-6.2923160832802605,3.1276379284056127e-10,0.9075828832895233,True
