variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-5.9213700130457,0.06053702853807446,-97.8140182305361,0.0,0.00268152393650477,True
distance_to_ikn,-0.2430625493677756,0.056671483422234714,-4.28897453692577,1.7949994803017445e-05,0.7842224596183748,True
mining_density_10km,0.23188205390743397,0.012290130016796113,18.867339368300904,2.1169185336884565e-79,1.2609709934556066,True
elevation,-0.2611746160488182,0.07860930382409623,-3.322438990596428,0.0008923418287277271,0.7701464279469595,True
rainfall_annual,-0.3163829969223142,0.06174116129980043,-5.12434476873594,2.9857421471096165e-07,0.7287802761068412,True
