variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-5.941806338654279,0.06139457012047283,-96.7806489563302,0.0,0.0026272796055023333,True
distance_to_ikn,-0.2616606085843024,0.05655478118992725,-4.626675288612128,3.715823904104527e-06,0.7697722334669745,True
mining_density_10km,0.2636986988156807,0.01374838888850332,19.180334579871456,5.403157211310261e-82,1.3017359226324412,True
elevation,-0.25112355214032434,0.07840606370549282,-3.2028588131090125,0.001360706730424278,0.7779262511677932,True
rainfall_annual,-0.31980004188424266,0.06214522226794976,-5.146011715999181,2.6608281138328886e-07,0.7262942509847694,True
