lon,lat,class_start,class_end,is_changed,transition_code,forest_loss,forest_gain,urbanization,mining_expansion
119.2895,-2.7107,0,0,0,0->0,0,0,0,0
119.3344,-2.7107,0,0,0,0->0,0,0,0,0
119.3839,-2.7107,0,0,0,0->0,0,0,0,0
119.4198,-2.7107,0,0,0,0->0,0,0,0,0
118.9257,-2.7062,0,0,0,0->0,0,0,0,0
119.02,-2.7062,0,0,0,0->0,0,0,0,0
119.0605,-2.7062,0,0,0,0->0,0,0,0,0
119.2536,-2.7062,0,0,0,0->0,0,0,0,0
119.2626,-2.7062,0,0,0,0->0,0,0,0,0
119.3704,-2.7062,0,2,1,0->2,1,0,1,0
118.9482,-2.7017,0,0,0,0->0,0,0,0,0
119.0829,-2.7017,0,0,0,0->0,0,0,0,0
119.1593,-2.7017,0,0,0,0->0,0,0,0,0
119.303,-2.7017,0,0,0,0->0,0,0,0,0
119.3165,-2.7017,0,0,0,0->0,0,0,0,0
119.3973,-2.7017,0,0,0,0->0,0,0,0,0
119.4063,-2.7017,0,0,0,0->0,0,0,0,0
118.9212,-2.6972,0,0,0,0->0,0,0,0,0
118.9527,-2.6972,0,0,0,0->0,0,0,0,0
119.065,-2.6972,0,0,0,0->0,0,0,0,0
119.1413,-2.6972,1,1,0,1->1,0,0,0,0
119.1817,-2.6972,1,1,0,1->1,0,0,0,0
119.2042,-2.6972,0,0,0,0->0,0,0,0,0
119.2671,-2.6972,0,0,0,0->0,0,0,0,0
119.285,-2.6972,0,0,0,0->0,0,0,0,0
119.303,-2.6972,0,0,0,0->0,0,0,0,0
119.3659,-2.6972,0,0,0,0->0,0,0,0,0
119.3794,-2.6972,0,0,0,0->0,0,0,0,0
119.3928,-2.6972,0,0,0,0->0,0,0,0,0
118.8538,-2.6927,0,1,1,0->1,1,0,0,0
118.8853,-2.6927,1,2,1,1->2,0,0,1,0
118.9931,-2.6927,0,0,0,0->0,0,0,0,0
119.0605,-2.6927,0,0,0,0->0,0,0,0,0
119.0964,-2.6927,0,0,0,0->0,0,0,0,0
