lon,lat,class_start,class_end,is_changed,transition_code,forest_loss,forest_gain,urbanization,mining_expansion
119.4288,-2.3873,0,0,0,0->0,0,0,0,0
119.4333,-2.3873,0,0,0,0->0,0,0,0,0
119.4917,-2.3828,0,0,0,0->0,0,0,0,0
119.4378,-2.3783,0,0,0,0->0,0,0,0,0
119.4827,-2.3738,0,0,0,0->0,0,0,0,0
119.4647,-2.3648,0,0,0,0->0,0,0,0,0
119.4512,-2.3603,0,0,0,0->0,0,0,0,0
119.4557,-2.3603,0,0,0,0->0,0,0,0,0
119.4692,-2.3603,0,0,0,0->0,0,0,0,0
119.4243,-2.3558,0,0,0,0->0,0,0,0,0
119.4557,-2.3558,0,0,0,0->0,0,0,0,0
119.4647,-2.3513,0,0,0,0->0,0,0,0,0
119.4872,-2.3513,0,0,0,0->0,0,0,0,0
119.4378,-2.3468,0,0,0,0->0,0,0,0,0
119.4737,-2.3468,0,0,0,0->0,0,0,0,0
119.4782,-2.3379,0,0,0,0->0,0,0,0,0
119.4243,-2.3289,0,0,0,0->0,0,0,0,0
119.4333,-2.3289,0,0,0,0->0,0,0,0,0
119.4917,-2.3244,0,0,0,0->0,0,0,0,0
119.4557,-2.3154,0,0,0,0->0,0,0,0,0
119.4288,-2.3109,0,0,0,0->0,0,0,0,0
119.4782,-2.2929,0,0,0,0->0,0,0,0,0
119.4557,-2.2885,0,0,0,0->0,0,0,0,0
119.4647,-2.2885,0,0,0,0->0,0,0,0,0
119.4243,-2.284,0,0,0,0->0,0,0,0,0
119.4288,-2.284,0,0,0,0->0,0,0,0,0
119.4782,-2.284,0,0,0,0->0,0,0,0,0
119.4737,-2.2795,0,0,0,0->0,0,0,0,0
119.4288,-2.275,0,1,1,0->1,1,0,0,0
119.4782,-2.275,0,0,0,0->0,0,0,0,0
119.4467,-2.2705,0,0,0,0->0,0,0,0,0
119.4378,-2.266,0,0,0,0->0,0,0,0,0
119.4422,-2.266,0,0,0,0->0,0,0,0,0
119.4557,-2.266,0,0,0,0->0,0,0,0,0
