feature,mean_abs_shap
NDVI,0.9383163877204599
B12,0.4701955187281459
B11,0.4433540685822975
B3,0.21742735617401127
NDBI,0.17791172068218475
B2,0.16590219045798268
BSI,0.15857887009797944
B4,0.15413610616013068
B8,0.14033495620123226
NDMI,0.04631397365870232
