variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-5.9213700130457,0.0605370285380744,-97.8140182305361,0.0,0.0026815239365047,True
distance_to_ikn,-0.2430625493677756,0.0566714834222347,-4.28897453692577,1.7949994803017445e-05,0.7842224596183748,True
mining_density_10km,0.2318820539074339,0.0122901300167961,18.867339368300904,2.1169185336884565e-79,1.2609709934556066,True
elevation,-0.2611746160488182,0.0786093038240962,-3.322438990596428,0.0008923418287277,0.7701464279469595,True
rainfall_annual,-0.3163829969223142,0.0617411612998004,-5.12434476873594,2.9857421471096165e-07,0.7287802761068412,True
