variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-4.90184540816223,0.037621287392606,-130.294462201887,0.0,0.0074328537577341,True
distance_to_ikn,-0.0476503373677908,0.0338582064891561,-1.407349718392555,0.1593237132214554,0.9534671206200874,False
mining_density_10km,0.2377988336403995,0.0105533626474037,22.532991766269088,1.9717858076476232e-112,1.2684539968844784,True
elevation,-0.4713224651636314,0.0608502132193152,-7.745617315503889,9.511858437962412e-15,0.6241762708525028,True
rainfall_annual,-0.2602474557347826,0.0381505789818444,-6.821586006823974,9.004083538593619e-12,0.7708608082723165,True
