variable,coefficient,std_error,z_value,p_value,odds_ratio,significant
intercept,-2.9957743948119973,0.0163215839108707,-183.54679369179988,0.0,0.049997893981454,True
distance_to_ikn,0.1025018542384373,0.0138793855959717,7.38518672384079,1.5223958482773356e-13,1.1079393562916406,True
mining_density_10km,0.0654447219291131,0.0090548346332336,7.227599904355366,4.916044830018498e-13,1.067633718949905,True
elevation,-0.7769278005368971,0.03051025599778,-25.46447989795388,4.880208334698892e-143,0.4598164915359516,True
rainfall_annual,-0.0969703855650835,0.015410920920319,-6.2923160832802605,3.1276379284056127e-10,0.9075828832895232,True
