feature,importance
NDVI,0.19758816217665354
B11,0.11979211791443917
B12,0.10917520878870066
B4,0.10233969747671426
BSI,0.10048230977107482
B8,0.08494203814274404
B3,0.0798429879890144
B2,0.07307149748414203
NDMI,0.0690708039655948
NDBI,0.06369517629092239
