fold,accuracy,f1_macro,f1_weighted,kappa,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,producers_acc_0,producers_acc_1,producers_acc_2,producers_acc_3,producers_acc_4,users_acc_0,users_acc_1,users_acc_2,users_acc_3,users_acc_4
1,0.8453591068155307,0.8495954089658081,0.8454869842857216,0.8016316426875559,0.7479438800193517,0.6209535020600353,0.760229720028715,0.6728110599078341,0.9190687361419069,0.8513215859030837,0.7622832369942196,0.8673218673218673,0.8236953455571228,0.9517795637198623,0.8603227601558152,0.7700729927007299,0.8602761982128351,0.7860026917900403,0.963953488372093
2,0.839,0.8373115675085099,0.8397575830727094,0.7920481598666008,0.7383748238609676,0.6219912472647703,0.7181434599156118,0.63268156424581,0.9214801444043321,0.8269331930562862,0.7873961218836565,0.861336032388664,0.7677966101694915,0.9480037140204272,0.8733333333333333,0.747534516765286,0.8120229007633588,0.7823834196891192,0.970532319391635
3,0.8265,0.8286675128985678,0.8270079700377396,0.7734358257520545,0.7533670033670034,0.5578947368421052,0.7082152974504249,0.6547619047619048,0.899749373433584,0.8507604562737643,0.7355102040816327,0.8278145695364238,0.7735583684950773,0.9547872340425532,0.8680892337536372,0.6979085979860573,0.8305647840531561,0.8100147275405007,0.9397905759162304
4,0.8279713285547591,0.8383273197691163,0.8280270352899517,0.7611228173068204,0.7314148681055156,0.6706972994760177,0.659016393442623,0.703030303030303,0.8583509513742071,0.8409926470588235,0.7973167225682798,0.8192934782608695,0.8241563055062167,0.9290617848970252,0.8487940630797773,0.8085519922254616,0.7710997442455243,0.8270944741532977,0.918552036199095
5,0.821,0.8146322519637963,0.8214083624443953,0.760448055815157,0.7136069114470842,0.6488147497805092,0.667324777887463,0.5460992907801419,0.8982300884955752,0.8247628557164254,0.7946236559139785,0.7981109799291618,0.7213114754098361,0.9409038238702202,0.8411405295315683,0.7795358649789029,0.8028503562945368,0.6921348314606741,0.9519343493552169
