fold,accuracy,f1_macro,f1_weighted,kappa
0,0.8523579403432762,0.8575144333612407,0.8524905160535391,0.8105713365093331
1,0.8473333333333334,0.8469406713923572,0.8480804638273777,0.8029808255461887
2,0.8348333333333333,0.8377251416739476,0.8354974968487882,0.7845788217070204
3,0.833472245374229,0.8411373317409554,0.8335615298603639,0.7690634381435
4,0.8316666666666667,0.8280954488019983,0.8319962057034809,0.7748168965955845
