feature,importance
NDVI,2.9986875908857966
B3,2.6984109433037227
B4,2.077639144728401
B2,2.038698447900264
B12,1.6750926346026112
BSI,1.669571690105973
B11,1.546910797762821
B8,1.015668905407753
NDBI,0.39612369324014807
NDMI,0.39612369324014807
