fold,accuracy,f1_macro,f1_weighted,kappa,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,producers_acc_0,producers_acc_1,producers_acc_2,producers_acc_3,producers_acc_4,users_acc_0,users_acc_1,users_acc_2,users_acc_3,users_acc_4
1,0.8285,0.825999544334764,0.8291191308268503,0.7740588612895969,0.7294281729428173,0.6516393442622951,0.7121212121212122,0.5576036866359447,0.9039145907473309,0.8159126365054602,0.8224137931034483,0.831858407079646,0.7076023391812866,0.9442379182156134,0.8731218697829716,0.7583465818759937,0.831858407079646,0.7245508982035929,0.9548872180451128
2,0.8315,0.8376402153796093,0.8312946782826629,0.7793564016106328,0.7193877551020408,0.6244131455399061,0.6931818181818182,0.672,0.9230769230769231,0.8623853211009175,0.7471910112359551,0.7922077922077922,0.84,0.9473684210526315,0.8126801152737753,0.7916666666666666,0.8472222222222222,0.7706422018348624,0.972972972972973
3,0.823,0.8318439352085789,0.8233534512958522,0.7712069061906305,0.6974564926372155,0.6128,0.7066666666666667,0.6611842105263158,0.9108910891089109,0.8127925117004681,0.7753036437246964,0.8603896103896104,0.7613636363636364,0.9419795221843004,0.8309409888357256,0.745136186770428,0.7981927710843374,0.8340248962655602,0.965034965034965
4,0.8105,0.8156450028462064,0.80947627219078,0.7419071022194287,0.7234285714285714,0.60431654676259,0.704225352112676,0.593607305936073,0.8414634146341463,0.8473895582329317,0.7142857142857143,0.8645533141210374,0.7692307692307693,0.9261744966442953,0.8318002628120894,0.7969639468690702,0.7915567282321899,0.7222222222222222,0.9019607843137255
5,0.849,0.8531101498025648,0.8497132488670834,0.8046430903651848,0.7631954350927247,0.6598101265822784,0.7306733167082294,0.6666666666666666,0.9238754325259516,0.8438485804416404,0.8208661417322834,0.8371428571428572,0.8122270742358079,0.956989247311828,0.8887043189368771,0.7707948243992606,0.8517441860465116,0.788135593220339,0.9638989169675091
