fold,accuracy,f1_macro,f1_weighted,kappa,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,producers_acc_0,producers_acc_1,producers_acc_2,producers_acc_3,producers_acc_4,users_acc_0,users_acc_1,users_acc_2,users_acc_3,users_acc_4
1,0.8078653557740376,0.8135908746767821,0.8075221379925396,0.7530408867659861,0.7082179132040628,0.5633162975582056,0.6465277777777778,0.6313993174061433,0.920704845814978,0.8447136563876652,0.7167630057803468,0.7624897624897625,0.7827926657263752,0.9598163030998852,0.8142250530785563,0.7246165084002922,0.8095652173913044,0.7655172413793103,0.9576174112256587
2,0.8133333333333334,0.8095333376961411,0.8128818843933838,0.7577925472262182,0.7088830255057168,0.5671067106710671,0.6527545909849749,0.5888888888888889,0.9288288288288288,0.8479747501315097,0.71398891966759,0.791497975708502,0.7186440677966102,0.957288765088208,0.8120906801007557,0.7338078291814947,0.7883064516129032,0.7653429602888087,0.9689849624060151
3,0.7828333333333334,0.7808468030925036,0.7828463952316286,0.7159820270171643,0.7292954264524104,0.5124113475177305,0.5655629139072847,0.5540229885057472,0.900497512437811,0.841254752851711,0.7077551020408164,0.706953642384106,0.6779184247538678,0.9627659574468085,0.8456760630673674,0.6499250374812594,0.7387543252595156,0.7519500780031201,0.9329896907216495
4,0.7767961326887814,0.7805289453123059,0.7755536050572301,0.6896390832788771,0.6909361069836553,0.5924726831242412,0.5208333333333334,0.5888399412628488,0.8436213991769548,0.8547794117647058,0.7014853857211308,0.7133152173913043,0.7122557726465364,0.9382151029748284,0.7828282828282829,0.7922077922077922,0.6587202007528231,0.7726396917148363,0.8932461873638344
5,0.7871666666666667,0.7810159102670692,0.7866711506578055,0.7152766348358925,0.6830578512396694,0.5877694676638804,0.550531914893617,0.5302752293577981,0.9045005488474204,0.8252621068397404,0.7182795698924731,0.7331759149940968,0.6768149882903981,0.9548088064889919,0.7985507246376812,0.7638650657518582,0.688470066518847,0.7100737100737101,0.944954128440367
