fold,accuracy,f1_macro,f1_weighted,kappa,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,producers_acc_0,producers_acc_1,producers_acc_2,producers_acc_3,producers_acc_4,users_acc_0,users_acc_1,users_acc_2,users_acc_3,users_acc_4
1,0.8375270788201966,0.841664290112487,0.8377544941052847,0.7915326774725957,0.741718674987998,0.6132241076653013,0.7295373665480427,0.6549375709421112,0.9253897550111359,0.8507709251101322,0.7572254335260116,0.8394758394758395,0.8138222849083215,0.9540757749712974,0.8526490066225165,0.763292061179898,0.847808105872622,0.7703604806408545,0.9685314685314685
2,0.8325,0.8298732561914927,0.8332409105618768,0.7836941241208314,0.7345794392523365,0.6102900930487137,0.6961602671118531,0.6191780821917808,0.9207207207207208,0.8269331930562862,0.7721606648199446,0.8441295546558705,0.7661016949152543,0.9489322191272052,0.8680287134180011,0.7443257676902537,0.7988505747126436,0.7635135135135135,0.9687203791469194
3,0.824,0.8263494685493956,0.8249227228991834,0.770481318352989,0.7531806615776081,0.5594362745098039,0.6939929328621908,0.646441073512252,0.9055415617128464,0.844106463878327,0.7453061224489796,0.8129139072847682,0.7791842475386779,0.9561170212765957,0.8748768472906404,0.6916666666666667,0.8259041211101766,0.7914285714285715,0.9448094612352168
4,0.816136022670445,0.8258396675541743,0.8161448958999452,0.744919847611041,0.7223538704581358,0.6509471987101975,0.6232948583420777,0.6818181818181818,0.8571428571428571,0.8405330882352942,0.7738380450407283,0.8070652173913043,0.7992895204262878,0.9336384439359268,0.8370709382151029,0.8038825286212046,0.7324290998766955,0.8226691042047533,0.912751677852349
5,0.8163333333333334,0.8096014329087623,0.8167533390375075,0.7543813964338868,0.71280276816609,0.6373578302712161,0.6445725264169068,0.5390070921985816,0.9098998887652948,0.8227658512231653,0.7833333333333333,0.7922077922077922,0.711943793911007,0.947856315179606,0.8421052631578947,0.77376526818906,0.7757225433526012,0.6893424036281179,0.9578454332552693
