fold,accuracy,f1_macro,f1_weighted,kappa,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,producers_acc_0,producers_acc_1,producers_acc_2,producers_acc_3,producers_acc_4,users_acc_0,users_acc_1,users_acc_2,users_acc_3,users_acc_4
1,0.8436927178803533,0.8476404917342231,0.8436515687219679,0.7994179814691389,0.7444870565675935,0.6200355660936574,0.7562904385334291,0.6651376146788991,0.9213732004429679,0.8551762114537445,0.7557803468208093,0.8615888615888616,0.8180535966149506,0.9552238805970149,0.8518924849149753,0.7753891771682728,0.8608837970540099,0.7806191117092867,0.9629629629629629
2,0.8426666666666667,0.8404721057077117,0.8432411128982378,0.796793469837607,0.7437705688763516,0.6288716814159292,0.7203032855939343,0.634965034965035,0.928635953026197,0.8321935823250921,0.7873961218836565,0.8653846153846154,0.7694915254237288,0.9545032497678737,0.875,0.7574950033311126,0.8111954459203036,0.7841105354058722,0.9716446124763705
3,0.8266666666666667,0.8292808428242694,0.8272908228664853,0.7738131114884598,0.7504215851602024,0.5609907120743034,0.7107320540156361,0.6548881036513545,0.9008782936010038,0.8460076045627376,0.7395918367346939,0.8278145695364238,0.7819971870604782,0.9547872340425532,0.869140625,0.6990740740740741,0.8340283569641368,0.8011527377521613,0.9410222804718218
4,0.8271378563093849,0.8357492216334235,0.827157398793519,0.760101832191217,0.7365053978408637,0.6692307692307692,0.6472491909385113,0.6897590361445783,0.8628691983122363,0.8465073529411765,0.7920459990416866,0.8152173913043478,0.8134991119005328,0.9359267734553776,0.8500230733733272,0.8118860510805501,0.7585335018963337,0.8193202146690519,0.9170403587443946
5,0.826,0.8201744016704197,0.8264331490909254,0.7671841615652717,0.7186278766825879,0.6579991185544293,0.6732673267326733,0.5579322638146168,0.904550499445061,0.8262606090863704,0.8026881720430108,0.8028335301062574,0.7330210772833724,0.944380069524913,0.8465473145780051,0.7849631966351209,0.8066429418742586,0.7002237136465325,0.9554513481828839
